name,id,lat,lng,geometry,datum,MLLW,MLW,MHW,MHHW
Ocean City Inlet,8570283,38.328267,-75.091086,POINT (-75.091086 38.328267),NAVD88,-0.528,-0.481,0.159,0.221
Bishops Head,8571421,38.22,-76.038333,POINT (-76.03833299999999 38.22),NAVD88,-0.37,-0.328,0.21,0.259
Cambridge,8571892,38.5725,-76.061667,POINT (-76.061667 38.5725),NAVD88,-0.337,-0.274,0.221,0.285
Solomons Island,8577330,38.317222,-76.450833,POINT (-76.450833 38.317222),NAVD88,-0.259,-0.211,0.146,0.19
Wachapreague,8631044,37.607778,-75.685833,POINT (-75.685833 37.607778),NAVD88,-0.794,-0.744,0.471,0.569
Kiptopeke,8632200,37.16519,-75.988444,POINT (-75.988444 37.16519),NAVD88,-0.58,-0.546,0.247,0.316
Dahlgren,8635027,38.319753,-77.036597,POINT (-77.036597 38.319753),NAVD88,-0.318,-0.273,0.214,0.266
Lewisetta,8635750,37.996389,-76.465556,POINT (-76.46555600000001 37.996389),NAVD88,-0.253,-0.217,0.163,0.206
Windmill Point,8636580,37.6155,-76.289778,POINT (-76.289778 37.6155),NAVD88,-0.358,-0.328,0.025,0.065
Yorktown USCG Training Center,8637689,37.2265,-76.478806,POINT (-76.47880600000001 37.2265),NAVD88,-0.468,-0.432,0.259,0.318
Sewells Point,8638610,36.942778,-76.328611,POINT (-76.328611 36.942778),NAVD88,-0.491,-0.453,0.287,0.349
"CBBT, Chesapeake Channel",8638901,37.032902,-76.083298,POINT (-76.083298 37.032902),STND,1.355,1.391,2.201,2.274
Money Point,8639348,36.778194,-76.301861,POINT (-76.301861 36.778194),STND,6.584,6.626,7.496,7.56
